uniqueIEID,rootEnvelopID,className,methodName,executionTimeMs,startTime,code,isError,isSuccess,depth,hourOfDay,dayOfWeek,isWeekend,isBusinessHours,historical_avg,historical_std,historical_p95,success_rate,recent_call_count,method_popularity
e4e516a1-1afe-42b8-879d-12934dab03a5,App|Host|2025:12:27:17:41:12|9276,AuthController,Login,821,2025-12-27 17:41:12.211686,GEN_COMMON_00000,False,True,1,17,5,True,True,821.0,0.0,821.0,100.0,0,464
c9f750d9-2ae0-494f-bc54-0110396e12e5,App|Host|2025:12:27:17:44:06|6328,NotificationController,MarkAsRead,72,2025-12-27 17:44:06.211686,GEN_COMMON_00000,False,True,1,17,5,True,True,72.0,0.0,72.0,100.0,0,323
37ff64d9-3226-411e-9f67-85676cfd835f,App|Host|2025:12:27:17:49:27|5990,OrderController,Cancel,264,2025-12-27 17:49:27.211686,GEN_COMMON_00000,False,True,2,17,5,True,True,264.0,0.0,264.0,100.0,0,199
eb576b20-2523-4c44-8640-f9870086d9a7,App|Host|2025:12:27:17:55:41|1450,PersonController,Update,157,2025-12-27 17:55:41.211686,GEN_COMMON_00000,False,True,0,17,5,True,True,157.0,0.0,157.0,100.0,0,380
5e32201c-311d-4f78-b5ab-28d1a4cbcff2,App|Host|2025:12:27:17:56:15|7424,NotificationController,SendEmail,795,2025-12-27 17:56:15.211686,GEN_COMMON_00000,False,True,1,17,5,True,True,795.0,0.0,795.0,100.0,0,308
1a70270e-32be-490d-a051-9032f65278f6,App|Host|2025:12:27:18:02:19|6105,OrderController,CreateOrder,180,2025-12-27 18:02:19.211686,GEN_COMMON_00000,False,True,1,18,5,True,False,180.0,0.0,180.0,100.0,0,216
7f085239-1922-4e23-be3c-cc05263672fd,App|Host|2025:12:27:18:07:16|4135,NotificationController,GetNotifications,60,2025-12-27 18:07:16.211686,GEN_COMMON_00000,False,True,0,18,5,True,False,60.0,0.0,60.0,100.0,0,305
32dec07e-de86-4632-b1c7-3387d2420798,App|Host|2025:12:27:18:11:41|5255,UserController,GetAll,274,2025-12-27 18:11:41.211686,GEN_COMMON_00000,False,True,0,18,5,True,False,274.0,0.0,274.0,100.0,0,787
9444a862-c158-46b2-8fb5-6f447780785b,App|Host|2025:12:27:18:12:12|9070,PaymentController,ValidateCard,105,2025-12-27 18:12:12.211686,GEN_COMMON_00000,False,True,1,18,5,True,False,105.0,0.0,105.0,100.0,0,310
58f66a81-60c0-47d2-b5c5-8682cc2cf1d4,App|Host|2025:12:27:18:19:16|2183,OrderController,UpdateStatus,139,2025-12-27 18:19:16.211686,GEN_COMMON_00000,False,True,0,18,5,True,False,139.0,0.0,139.0,100.0,0,206
d23745c0-5e82-4401-bacd-30a4c0527c12,App|Host|2025:12:27:18:22:27|5641,PersonController,Create,273,2025-12-27 18:22:27.211686,GEN_COMMON_00000,False,True,0,18,5,True,False,273.0,0.0,273.0,100.0,0,397
9678f159-f164-4331-92da-a2a8c496159d,App|Host|2025:12:27:18:24:50|7045,ProductController,Create,148,2025-12-27 18:24:50.211686,GEN_COMMON_00000,False,True,2,18,5,True,False,210.5,88.38834764831844,266.75,100.0,0,397
4f5d4869-565f-4cce-8fbb-0de35b88526c,App|Host|2025:12:27:18:36:32|5936,ProductController,GetAll,173,2025-12-27 18:36:32.211686,GEN_COMMON_00000,False,True,2,18,5,True,False,223.5,71.4177848998413,268.95,100.0,0,787
8da4a96d-5933-470c-b3bf-fd51c652fd46,App|Host|2025:12:27:18:36:54|8488,PaymentController,ProcessPayment,1682,2025-12-27 18:36:54.211686,GEN_COMMON_00000,False,True,0,18,5,True,False,1682.0,0.0,1682.0,100.0,0,332
9401e099-7af3-42a7-af0e-a75d95fd76d6,App|Host|2025:12:27:18:44:42|9232,PersonController,Update,171,2025-12-27 18:44:42.211686,GEN_COMMON_00000,False,True,0,18,5,True,False,164.0,9.899494936611665,170.3,100.0,0,380
3c2c5ee0-fe29-4097-96dc-9d1e819a5a5a,App|Host|2025:12:27:18:45:51|5107,ReportController,GenerateSalesReport,7623,2025-12-27 18:45:51.211686,GEN_COMMON_00000,False,True,1,18,5,True,False,7623.0,0.0,7623.0,100.0,0,413
fbfa225c-6ac9-44e1-ac61-beb20a64397e,App|Host|2025:12:27:18:49:18|2789,ProductController,GetByCategory,108,2025-12-27 18:49:18.211686,GEN_COMMON_00000,False,True,1,18,5,True,False,108.0,0.0,108.0,100.0,0,173
9ab79fad-04c3-4b00-8c49-3de2b84a0e00,App|Host|2025:12:27:18:50:14|9940,OrderController,GetAll,213,2025-12-27 18:50:14.211686,GEN_COMMON_00000,False,True,0,18,5,True,False,220.0,50.86255990411808,267.9,100.0,0,787
eb7cabc3-9931-4b9a-b44d-16bf24796e59,App|Host|2025:12:27:18:53:32|4705,UserController,Login,245,2025-12-27 18:53:32.211686,GEN_COMMON_00000,False,True,0,18,5,True,False,533.0,407.29350596345137,792.1999999999999,100.0,0,464
29fbc74c-a106-4d34-993c-1f6780980f38,App|Host|2025:12:27:19:00:49|8606,ProductController,Update,155,2025-12-27 19:00:49.211686,GEN_COMMON_00000,False,True,2,19,5,True,False,161.0,8.717797887081348,169.6,100.0,0,380
5c678940-a3ce-450e-b901-56d59340063c,App|Host|2025:12:27:19:01:30|1711,ReportController,ExportData,193,2025-12-27 19:01:30.211686,GEN_COMMON_00000,False,True,1,19,5,True,False,193.0,0.0,193.0,100.0,0,473
7e42ad56-9a6a-47aa-9382-ddec8a093853,App|Host|2025:12:27:19:01:59|4165,PersonController,Search,308,2025-12-27 19:01:59.211686,API_COMMON_01001,True,False,1,19,5,True,False,308.0,0.0,308.0,0.0,0,365
0d91234b-4392-4ca7-9d87-1d942f85e717,App|Host|2025:12:27:19:02:49|5825,PersonController,GetAll,212,2025-12-27 19:02:49.211686,GEN_COMMON_00000,False,True,1,19,5,True,False,218.0,41.72129751897305,264.84999999999997,100.0,0,787
5f700877-e790-4533-995f-85740eeba081,App|Host|2025:12:27:19:04:00|6656,UserController,Delete,133,2025-12-27 19:04:00.211686,GEN_COMMON_00000,False,True,1,19,5,True,False,133.0,0.0,133.0,100.0,0,580
